clean_sku,original_sku,product_name,category,subcategory,price,inventory,inventory_date,record_status
BO-RE-6191,BO-RE-6191,Test Product 0,Books,Reference,228.46,99.0,2024-02-13 11:06:03.166,Complete
CL-KI-3047,CL-KI-3047,Test Product 2 [Updated],Clothing,Kids,124.06,54.0,2024-06-08 11:06:03.16569,Complete
SP-CL-6486,SP-CL-6486,Test Product 4 [Updated],Sports,Clothing,252.64,35.0,2024-12-19 11:06:03.166,Complete
To-Ar-7439,To-Ar-7439,Test Product 6,Toys,Arts & Crafts,142.96,59.0,2024-12-28 11:06:03.165847,Complete
CL-ME-4561,CL-ME-4561,Test Product 8 - Latest Model,Clothing,Mens,458.33,32.0,2024-12-21 11:06:03.165917,Complete
TO-OU-6134,TO-OU-6134,Test Product 10 (New),Toys,Outdoor,62.87,51.0,2024-11-03 11:06:03.165984,Complete
TO-ED-2306,TO-ED-2306,Test Product 13 (New),Toys,Educational,182.76,26.0,2024-09-23 11:06:03.166093,Complete
EL-PH-6249,EL-PH-6249,Test Product 16,Electronics,Phones,492.97,74.0,2024-08-07 11:06:03.166191,Complete
CL-ME-3327,CL-ME-3327,Test Product 17,Clothing,Mens,320.43,96.0,2024-07-21 11:06:03.166222,Complete
BO-FI-6759,BO-FI-6759,Test Product 19 - Latest Model,Books,Fiction,77.39,22.0,2024-04-15 11:06:03.166284,Complete
BO-ED-6592,BO-ED-6592,Test Product 22 - Latest Model,Books,Educational,149.12,34.0,2024-07-14 11:06:03.166375,Complete
EL-CA-4446,EL-CA-4446,Test Product 24 (New),Electronics,Cameras,486.78,26.0,2025-01-11 11:06:03.166434,Complete
EL-CA-2069,EL-CA-2069,Test Product 26,Electronics,Cameras,376.38,45.0,2024-08-10 11:06:03.166495,Complete
EL-PH-8343,EL-PH-8343,Test Product 29 - Latest Model,Electronics,Phones,406.59,12.0,2024-03-28 11:06:03.166585,Complete
HO-AP-3368,HO-AP-3368,Test Product 30 [Updated],Home & kitchen,Appliances,399.94,91.0,2024-02-19 11:06:03.166616,Complete
HO-FU-1574,HO-FU-1574,Test Product 31 (New),Home & kitchen,Furniture,,0.0,2024-05-12 11:06:03.166646,Missing price
TO-OU-4124,TO-OU-4124,Test Product 32 [Updated],Toys,Outdoor,315.22,0.0,2024-02-23 11:06:03.166679,Complete
CL-AC-5465,CL-AC-5465,Test Product 33 [Updated],Clothing,Accessories,30.12,57.0,2024-02-27 11:06:03.16671,Complete
BO-FI-5452,BO-FI-5452,Test Product 37 - Latest Model,Books,Fiction,475.08,9.0,2024-06-02 11:06:03.166837,Complete
CL-WO-5611,CL-WO-5611,Test Product 38 [Updated],Clothing,,324.79,90.0,,Missing subcategory
Bo-Re-6726,Bo-Re-6726,Test Product 40 (New),Books,Reference,56.28,0.0,2024-11-06 11:06:03.167,Complete
TO-BU-4766,TO-BU-4766,Test Product 43,Toys,Building,126.74,0.0,,Complete
Ho-St-5491,Ho-St-5491,Test Product 45,Home & kitchen,Storage,114.24,38.0,2024-10-21 11:06:03.167082,Complete
SP-CL-7541,SP-CL-7541,Test Product 46 - Latest Model,Sports,Clothing,371.15,33.0,2024-02-13 11:06:03.201139,Complete
SP-AC-2365,SP-AC-2365,Test Product 48 [Updated],Sports,Accessories,454.77,0.0,,Complete
SP-FI-5186,SP-FI-5186,Test Product 49 (New),Sports,Fitness,64.49,0.0,2024-03-27 11:06:03.167201,Complete
EL-PH-1504,EL-PH-1504,Test Product 50 - Latest Model,Electronics,Phones,50.62,57.0,2024-12-25 11:06:03.167231,Complete
EL-PH-4486,EL-PH-4486,Test Product 52,Electronics,Phones,296.31,0.0,2024-02-15 11:06:03.16729,Complete
CL-SH-1009,CL-SH-1009,Test Product 55 [Updated],Clothing,Shoes,280.28,0.0,,Complete
TO-AR-6989,TO-AR-6989,Test Product 57 - Latest Model,Toys,Arts & Crafts,386.80,16.0,2024-11-14 11:06:03.167444,Complete
HO-CO-1770,HO-CO-1770,Test Product 59 - Latest Model,Home & kitchen,Cookware,410.03,56.0,2024-10-18 11:06:03.168,Complete
SP-OU-7327,SP-OU-7327,Test Product 62,Sports,Outdoor,136.54,52.0,2024-07-17 11:06:03.168,Complete
TO-OU-2906,TO-OU-2906,Test Product 63 - Latest Model,Toys,Outdoor,72.74,0.0,2024-02-13 11:06:03.16763,Complete
Ho-St-7981,Ho-St-7981,Test Product 65,Home & kitchen,Storage,184.44,89.0,,Complete
Cl-Me-7190,Cl-Me-7190,Test Product 66,Clothing,Mens,260.71,80.0,2025-01-12 11:06:03.16772,Complete
Bo-Fi-2276,Bo-Fi-2276,Test Product 67 [Updated],Books,Fiction,191.53,86.0,2024-11-21 11:06:03.167749,Complete
Ho-St-6126,Ho-St-6126,Test Product 68 - Latest Model,Home & kitchen,Storage,260.72,0.0,2024-06-25 11:06:03.168,Complete
SP-FI-4517,SP-FI-4517,Test Product 72 (New),Sports,Fitness,37.27,0.0,2024-06-23 11:06:03.167904,Complete
CL-WO-7469,CL-WO-7469,Test Product 74 (New),Clothing,Womens,218.46,46.0,2025-02-06 11:06:03.167964,Complete
HO-ST-7988,HO-ST-7988,Test Product 75 - Latest Model,Home & kitchen,Storage,190.92,0.0,2024-08-19 11:06:03.167994,Complete
HO-ST-2619,HO-ST-2619,Test Product 76,"",Storage,11.33,37.0,2024-11-05 11:06:03.168024,Complete
EL-AU-1235,EL-AU-1235,Test Product 77 (New),Electronics,Audio,368.13,34.0,2025-02-06 11:06:03.168055,Complete
CL-WO-1600,CL-WO-1600,Test Product 79,Clothing,Womens,344.66,31.0,2024-08-12 11:06:03.168117,Complete
