sku,product_name,category,subcategory,price,inventory,last_updated
BO-RE-6191,Test Product 0,Books,Reference,228.45804889825965,99.0,2024-02-13 11:06:03.165588
CL-KI-3047,Test Product 2 [Updated],Clothing,Kids,124.05795681084908,54.0,2024-06-08 11:06:03.16569
SP-CL-6486,Test Product 4 [Updated],sports,Clothing,$252.64,35.0,2024-12-19 11:06:03.16577
To-Ar-7439,Test Product 6,Toys,Arts & Crafts,142.961025569209,59.0,2024-12-28 11:06:03.165847
CL-ME-4561,Test Product 8 - Latest Model,Clothing,Mens,458.3302410164526,32.0,2024-12-21 11:06:03.165917
,Test Product 9 - Latest Model,Toys,Building,68.60118050976783,,2024-05-28 11:06:03.16595
TO-OU-6134,Test Product 10 (New),toys,Outdoor,$62.87,51.0,2024-11-03 11:06:03.165984
TO-ED-2306,Test Product 13 (New),toys,Educational,182.7587396037428,26.0,2024-09-23 11:06:03.166093
EL-PH-6249,Test Product 16,Electronics,Phones,492.9687225141943,74.0,2024-08-07 11:06:03.166191
CL-ME-3327,Test Product 17,Clothing,Mens,320.4295582728384,96.0,2024-07-21 11:06:03.166222
BO-FI-6759,Test Product 19 - Latest Model,Books,Fiction,77.38526263153669,22.0,2024-04-15 11:06:03.166284
BO-ED-6592,Test Product 22 - Latest Model,Books,Educational,149.1212776213582,34.0,2024-07-14 11:06:03.166375
EL-CA-4446,Test Product 24 (New),Electronics,Cameras,486.7751718286983,26.0,2025-01-11 11:06:03.166434
EL-CA-2069,Test Product 26,Electronics,Cameras,376.38219920973285,45.0,2024-08-10 11:06:03.166495
EL-PH-8343,Test Product 29 - Latest Model,Electronics,Phones,406.5869661844717,12.0,2024-03-28 11:06:03.166585
HO-AP-3368,Test Product 30 [Updated],Home & Kitchen,Appliances,399.93840802368953,91.0,2024-02-19 11:06:03.166616
HO-FU-1574,Test Product 31 (New),Home & Kitchen,Furniture,,-6.0,2024-05-12 11:06:03.166646
TO-OU-4124,Test Product 32 [Updated],Toys,Outdoor,315.21633315131015,,2024-02-23 11:06:03.166679
CL-AC-5465,Test Product 33 [Updated],Clothing,Accessories,30.123083216259136,57.0,2024-02-27 11:06:03.16671
BO-FI-5452,Test Product 37 - Latest Model,books,Fiction,475.0814084797791,9.0,2024-06-02 11:06:03.166837
CL-WO-5611,Test Product 38 [Updated],clothing,,$324.79,90.0,
Bo-Re-6726,Test Product 40 (New),books,Reference,56.27705077040491,-8.0,2024-11-06 11:06:03.166932
TO-BU-4766,Test Product 43,Toys,Building,126.73571467794993,83.0,
,Test Product 44,Toys,Building,54.730471625205446,51.0,2024-03-05 11:06:03.167052
Ho-St-5491,Test Product 45,Home & Kitchen,Storage,114.2366685618722,38.0,2024-10-21 11:06:03.167082
SP-CL-7541,Test Product 46 - Latest Model,sports,Clothing,371.1474228275943,75.0,2025-01-29 11:06:03.167112
SP-AC-2365,Test Product 48 [Updated],Sports,Accessories,454.7699161107877,30.0,
SP-FI-5186,Test Product 49 (New),Sports,Fitness,64.48676633001415,-4.0,2024-03-27 11:06:03.167201
EL-PH-1504,Test Product 50 - Latest Model,Electronics,Phones,50.61674762974357,57.0,2024-12-25 11:06:03.167231
,Test Product 51 (New),Sports,Outdoor,460.3667004865431,56.0,2024-12-22 11:06:03.16726
EL-PH-4486,Test Product 52,Electronics,Phones,296.31401284231913,-8.0,2024-02-15 11:06:03.16729
,Test Product 53 (New),Books,,122.40342539542533,99.0,2024-07-30 11:06:03.16732
,Test Product 54 [Updated],Clothing,Mens,142.76924483241365,-6.0,2024-11-17 11:06:03.167349
CL-SH-1009,Test Product 55 [Updated],Clothing,Shoes,280.2780575465943,64.0,
,Test Product 56,Electronics,Accessories,422.63827233649727,98.0,2024-04-02 11:06:03.167408
TO-AR-6989,Test Product 57 - Latest Model,Toys,Arts & Crafts,386.80383343845017,16.0,2024-11-14 11:06:03.167444
HO-CO-1770,Test Product 59 - Latest Model,Home & Kitchen,Cookware,410.02901025440053,56.0,2024-10-18 11:06:03.16751
,Test Product 60 - Latest Model,sports,Outdoor,17.126886177262143,29.0,
SP-OU-7327,Test Product 62,Sports,Outdoor,136.5397502664896,52.0,2024-07-17 11:06:03.167599
TO-OU-2906,Test Product 63 - Latest Model,toys,Outdoor,72.7424610893085,,2024-02-13 11:06:03.16763
Ho-St-7981,Test Product 65,Home & Kitchen,Storage,184.4358272932732,89.0,
Cl-Me-7190,Test Product 66,Clothing,Mens,260.711936638158,80.0,2025-01-12 11:06:03.16772
Bo-Fi-2276,Test Product 67 [Updated],Books,Fiction,191.53133036777717,86.0,2024-11-21 11:06:03.167749
Ho-St-6126,Test Product 68 - Latest Model,Home & Kitchen,Storage,260.7219466366764,,2024-06-25 11:06:03.167778
,Test Product 70,Books,Fiction,52.59094116283761,7.0,2024-06-16 11:06:03.167844
SP-FI-4517,Test Product 72 (New),Sports,Fitness,37.27020978491792,-8.0,2024-06-23 11:06:03.167904
CL-WO-7469,Test Product 74 (New),Clothing,Womens,218.46385492204422,46.0,2025-02-06 11:06:03.167964
HO-ST-7988,Test Product 75 - Latest Model,Home & Kitchen,Storage,190.9229359398491,,2024-08-19 11:06:03.167994
HO-ST-2619,Test Product 76,,Storage,11.32834071302154,37.0,2024-11-05 11:06:03.168024
EL-AU-1235,Test Product 77 (New),electronics,Audio,368.1250628497857,34.0,2025-02-06 11:06:03.168055
,Test Product 78 - Latest Model,Toys,Arts & Crafts,108.79738682339482,4.0,2024-03-05 11:06:03.168087
CL-WO-1600,Test Product 79,Clothing,Womens,344.6612110743949,31.0,2024-08-12 11:06:03.168117
,Test Product 80,Sports,Equipment,450.7915409045385,50.0,2024-12-30 11:06:03.168148
CL-KI-9135,Test Product 81 (New),clothing,Kids,399.072342742445,26.0,2024-09-03 11:06:03.16818
TO-ED-1950,Test Product 82,toys,Educational,289.2459455869451,96.0,2024-10-12 11:06:03.16821
BO-RE-1094,,Books,Reference,275.9349772403221,10.0,2024-05-29 11:06:03.168269
TO-OU-6732,Test Product 87,Toys,Outdoor,101.29723095211914,53.0,2024-12-14 11:06:03.168358
TO-GA-9666,Test Product 89 (New),Toys,,$297.66,53.0,2024-09-08 11:06:03.168416
EL-CA-6975,Test Product 90,Electronics,Cameras,294.4882916362413,-5.0,2024-12-20 11:06:03.168446
EL-CA-5243,Test Product 91 (New),Electronics,Cameras,272.1841622774927,95.0,2024-09-19 11:06:03.168475
TO-OU-9914,Test Product 92 (New),Toys,Outdoor,$103.44,39.0,
HO-AP-7645,Test Product 93 [Updated],Home & Kitchen,Appliances,253.535854922412,7.0,2024-12-14 11:06:03.168535
BO-NO-3679,Test Product 99 - Latest Model,Books,,401.92907541418447,-9.0,2024-12-29 11:06:03.168713
HO-CO-2386,Test Product 103,home & kitchen,Cookware,305.5445336385302,39.0,2025-01-27 11:06:03.168835
BO-FI-2333,,Books,Fiction,477.5025989044202,35.0,2024-06-13 11:06:03.168867
,Test Product 106 (New),,Phones,47.20737108111482,-3.0,2024-10-28 11:06:03.16893
HO-DE-5090,Test Product 107,home & kitchen,Decor,475.6163033721932,61.0,
CL-WO-2500,Test Product 110 (New),Clothing,Womens,36.89248117677271,,2025-01-24 11:06:03.16905
BO-RE-4760,Test Product 114 - Latest Model,Books,Reference,155.5314094628923,36.0,2024-09-07 11:06:03.16917
EL-AU-3632,Test Product 115 - Latest Model,Electronics,Audio,343.02716851960423,60.0,2024-07-24 11:06:03.1692
TO-OU-8878,Test Product 116 [Updated],toys,Outdoor,206.77431584848887,73.0,2024-10-23 11:06:03.169231
HO-AP-7402,Test Product 117 [Updated],Home & Kitchen,Appliances,38.34291151606422,98.0,2025-01-18 11:06:03.169263
HO-AP-8657,Test Product 118 - Latest Model,Home & Kitchen,Appliances,351.0501028463582,12.0,2024-10-10 11:06:03.169293
BO-RE-6068,,books,Reference,442.624071877356,66.0,2024-12-13 11:06:03.169384
HO-FU-2312,Test Product 122 (New),Home & Kitchen,Furniture,435.398793985258,47.0,2024-08-22 11:06:03.169414
HO-CO-4741,Test Product 124 - Latest Model,Home & Kitchen,Cookware,,38.0,2024-06-28 11:06:03.169474
SP-AC-3064,Test Product 125 [Updated],Sports,Accessories,,69.0,2024-11-25 11:06:03.169503
EL-LA-1571,Test Product 126 - Latest Model,Electronics,Laptops,60.22976671543284,67.0,2024-07-03 11:06:03.169533
El-Ca-9073,Test Product 127 (New),,Cameras,$314.25,63.0,2024-08-16 11:06:03.169564
SP-FI-6346,Test Product 128 [Updated],,Fitness,$22.05,78.0,2024-12-11 11:06:03.169597
HO-CO-4356,Test Product 129 [Updated],Home & Kitchen,Cookware,231.179641921541,28.0,2024-11-24 11:06:03.169627
BO-NO-4155,Test Product 130 (New),books,Non-Fiction,435.3466180408235,-5.0,2024-04-10 11:06:03.169659
SP-AC-2682,Test Product 131,Sports,Accessories,162.85647534261392,,
CL-WO-1959,Test Product 133 [Updated],clothing,Womens,461.21544542968655,24.0,2024-06-30 11:06:03.16975
TO-ED-2875,Test Product 134 [Updated],Toys,Educational,120.51466979743036,,2024-02-29 11:06:03.16978
TO-AR-9905,Test Product 137 [Updated],toys,Arts & Crafts,169.96604103955602,76.0,2024-11-22 11:06:03.169875
CL-SH-2925,Test Product 139,Clothing,Shoes,35.46592898922148,7.0,
HO-DE-9442,Test Product 140 - Latest Model,home & kitchen,Decor,448.46016146965854,25.0,2025-02-04 11:06:03.169964
BO-NO-7236,Test Product 143 (New),books,Non-Fiction,136.2646153704947,30.0,
BO-RE-4453,Test Product 144 [Updated],Books,Reference,276.2172564480113,97.0,2024-06-24 11:06:03.170083
CL-WO-7895,Test Product 146 (New),Clothing,Womens,126.39622921270005,68.0,2024-12-28 11:06:03.170141
,Test Product 147 [Updated],Toys,,334.68442671407695,88.0,2025-01-10 11:06:03.17017
EL-AC-7116,Test Product 150 [Updated],Electronics,,423.64351999490657,78.0,2024-10-22 11:06:03.170262
Cl-Sh-1968,,Clothing,Shoes,35.33145024834821,58.0,2024-03-19 11:06:03.170293
EL-PH-5585,Test Product 152 [Updated],Electronics,Phones,$482.91,49.0,2024-04-28 11:06:03.170324
EL-AC-8595,Test Product 153 (New),electronics,Accessories,24.687059037612197,7.0,2024-03-03 11:06:03.17039
TO-BU-9125,Test Product 156 [Updated],Toys,Building,306.42742211836503,88.0,2024-08-15 11:06:03.170497
